"PUBLISHER","AD_FORMAT","DEVICE_TYPE","GEO_METRO","IMPRESSIONS","PURCHASES","PURCHASE_RATE_PCT","YIELD_MULTIPLIER","BID_MULTIPLIER","FLOOR_TIER"
"people.com","native",1,"Chicago",453,9,1.987,1.85,1.85,"PREMIUM"
"foxnews.com","native",3,"Miami",454,9,1.982,1.85,1.85,"PREMIUM"
"people.com","native",6,"Miami",455,9,1.978,1.84,1.84,"PREMIUM"
"people.com","native",3,"Phoenix",455,9,1.978,1.84,1.84,"PREMIUM"
"espn.com","banner",7,"Dallas-Ft. Worth",960,19,1.979,1.84,1.84,"PREMIUM"
"cnet.com","video",3,"Denver",506,10,1.976,1.84,1.84,"PREMIUM"
"espn.com","video",1,"Phoenix",456,9,1.974,1.84,1.84,"PREMIUM"
"weather.com","banner",7,"Houston",913,18,1.972,1.84,1.84,"PREMIUM"
"forbes.com","native",1,"Miami",456,9,1.974,1.84,1.84,"PREMIUM"
"washingtonpost.com","video",7,"Philadelphia",507,10,1.972,1.84,1.84,"PREMIUM"
"bbc.com","native",3,"New York",509,10,1.965,1.83,1.83,"PREMIUM"
"theverge.com","native",4,"Los Angeles",508,10,1.969,1.83,1.83,"PREMIUM"
"bbc.com","native",7,"Atlanta",508,10,1.969,1.83,1.83,"PREMIUM"
"washingtonpost.com","native",1,"Denver",459,9,1.961,1.83,1.83,"PREMIUM"
"forbes.com","video",1,"New York",458,9,1.965,1.83,1.83,"PREMIUM"
"foxnews.com","video",7,"Denver",459,9,1.961,1.83,1.83,"PREMIUM"
"tmz.com","native",7,"Philadelphia",457,9,1.969,1.83,1.83,"PREMIUM"
"theverge.com","video",7,"Houston",461,9,1.952,1.82,1.82,"PREMIUM"
"buzzfeed.com","native",3,"Denver",512,10,1.953,1.82,1.82,"PREMIUM"
"nytimes.com","native",7,"Philadelphia",513,10,1.949,1.82,1.82,"PREMIUM"
"cnet.com","native",3,"New York",461,9,1.952,1.82,1.82,"PREMIUM"
"tmz.com","banner",3,"Denver",935,4,0.428,0.4,0.4,"DISCOUNT"
"buzzfeed.com","native",2,"Miami",461,2,0.434,0.4,0.4,"DISCOUNT"
"variety.com","banner",1,"Chicago",935,4,0.428,0.4,0.4,"DISCOUNT"
"foxnews.com","banner",3,"Dallas-Ft. Worth",929,4,0.431,0.4,0.4,"DISCOUNT"
"cnn.com","banner",4,"Atlanta",921,4,0.434,0.4,0.4,"DISCOUNT"
"washingtonpost.com","video",1,"Chicago",465,2,0.43,0.4,0.4,"DISCOUNT"
"forbes.com","native",6,"Denver",469,2,0.426,0.4,0.4,"DISCOUNT"
"espn.com","video",2,"Atlanta",469,2,0.426,0.4,0.4,"DISCOUNT"
"nytimes.com","banner",5,"Denver",934,4,0.428,0.4,0.4,"DISCOUNT"
"cnn.com","banner",7,"Denver",936,4,0.427,0.4,0.4,"DISCOUNT"
"cnet.com","native",2,"Los Angeles",463,2,0.432,0.4,0.4,"DISCOUNT"
"foxnews.com","video",5,"Denver",463,2,0.432,0.4,0.4,"DISCOUNT"
"buzzfeed.com","banner",1,"Phoenix",925,4,0.432,0.4,0.4,"DISCOUNT"
"cnn.com","video",1,"Philadelphia",467,2,0.428,0.4,0.4,"DISCOUNT"
"cnet.com","banner",4,"Dallas-Ft. Worth",925,4,0.432,0.4,0.4,"DISCOUNT"
"techcrunch.com","banner",2,"Philadelphia",941,4,0.425,0.4,0.4,"DISCOUNT"
"cnet.com","native",2,"Miami",467,2,0.428,0.4,0.4,"DISCOUNT"
"forbes.com","video",5,"Atlanta",464,2,0.431,0.4,0.4,"DISCOUNT"
"nytimes.com","video",5,"Chicago",464,2,0.431,0.4,0.4,"DISCOUNT"
"tmz.com","banner",6,"Miami",924,4,0.433,0.4,0.4,"DISCOUNT"
"bbc.com","banner",3,"Houston",933,4,0.429,0.4,0.4,"DISCOUNT"
"washingtonpost.com","banner",2,"Atlanta",926,4,0.432,0.4,0.4,"DISCOUNT"
"buzzfeed.com","banner",7,"New York",922,4,0.434,0.4,0.4,"DISCOUNT"
"theverge.com","video",6,"Philadelphia",461,2,0.434,0.4,0.4,"DISCOUNT"
"variety.com","video",2,"Houston",469,2,0.426,0.4,0.4,"DISCOUNT"
"foxnews.com","banner",2,"Los Angeles",925,4,0.432,0.4,0.4,"DISCOUNT"
"cnet.com","video",6,"Atlanta",469,2,0.426,0.4,0.4,"DISCOUNT"
"bbc.com","native",2,"Denver",465,2,0.43,0.4,0.4,"DISCOUNT"
"foxnews.com","native",2,"New York",463,2,0.432,0.4,0.4,"DISCOUNT"
"weather.com","native",5,"Phoenix",461,2,0.434,0.4,0.4,"DISCOUNT"
"foxnews.com","banner",2,"Houston",931,4,0.43,0.4,0.4,"DISCOUNT"
"nytimes.com","banner",5,"Miami",931,4,0.43,0.4,0.4,"DISCOUNT"
"theverge.com","video",5,"Miami",465,2,0.43,0.4,0.4,"DISCOUNT"
"nytimes.com","video",2,"Atlanta",467,2,0.428,0.4,0.4,"DISCOUNT"
"buzzfeed.com","banner",3,"Atlanta",941,4,0.425,0.4,0.4,"DISCOUNT"
"espn.com","banner",2,"Phoenix",966,4,0.414,0.39,0.39,"DISCOUNT"
"techcrunch.com","banner",6,"Atlanta",966,4,0.414,0.39,0.39,"DISCOUNT"
"theverge.com","banner",2,"Atlanta",962,4,0.416,0.39,0.39,"DISCOUNT"
"cnn.com","banner",6,"Atlanta",957,4,0.418,0.39,0.39,"DISCOUNT"
"tmz.com","banner",7,"Dallas-Ft. Worth",961,4,0.416,0.39,0.39,"DISCOUNT"
"variety.com","video",2,"New York",476,2,0.42,0.39,0.39,"DISCOUNT"
"cnn.com","banner",2,"Houston",965,4,0.415,0.39,0.39,"DISCOUNT"
"weather.com","banner",1,"Phoenix",945,4,0.423,0.39,0.39,"DISCOUNT"
"techcrunch.com","banner",4,"Denver",954,4,0.419,0.39,0.39,"DISCOUNT"
"buzzfeed.com","native",2,"Dallas-Ft. Worth",481,2,0.416,0.39,0.39,"DISCOUNT"
"techcrunch.com","banner",5,"Chicago",948,4,0.422,0.39,0.39,"DISCOUNT"
"washingtonpost.com","banner",5,"Phoenix",943,4,0.424,0.39,0.39,"DISCOUNT"
"cnet.com","video",5,"Atlanta",476,2,0.42,0.39,0.39,"DISCOUNT"
"variety.com","banner",4,"Chicago",944,4,0.424,0.39,0.39,"DISCOUNT"
"variety.com","banner",7,"Atlanta",944,4,0.424,0.39,0.39,"DISCOUNT"
"washingtonpost.com","banner",3,"Philadelphia",957,3,0.313,0.29,0.3,"DISCOUNT"
"forbes.com","banner",5,"Atlanta",953,3,0.315,0.29,0.3,"DISCOUNT"
"tmz.com","banner",4,"Phoenix",953,3,0.315,0.29,0.3,"DISCOUNT"
"buzzfeed.com","banner",6,"Phoenix",979,3,0.306,0.29,0.3,"DISCOUNT"
"cnet.com","banner",6,"Houston",972,3,0.309,0.29,0.3,"DISCOUNT"
"techcrunch.com","banner",2,"Houston",965,3,0.311,0.29,0.3,"DISCOUNT"
"variety.com","banner",1,"Miami",973,3,0.308,0.29,0.3,"DISCOUNT"
"tmz.com","banner",4,"Philadelphia",959,3,0.313,0.29,0.3,"DISCOUNT"
"tmz.com","banner",1,"Los Angeles",962,3,0.312,0.29,0.3,"DISCOUNT"
"weather.com","banner",6,"Phoenix",971,3,0.309,0.29,0.3,"DISCOUNT"
"weather.com","banner",2,"Miami",949,3,0.316,0.29,0.3,"DISCOUNT"
"theverge.com","banner",6,"New York",980,3,0.306,0.29,0.3,"DISCOUNT"
"tmz.com","banner",3,"New York",968,3,0.31,0.29,0.3,"DISCOUNT"
"bbc.com","banner",2,"Los Angeles",956,3,0.314,0.29,0.3,"DISCOUNT"
"forbes.com","banner",6,"Chicago",959,3,0.313,0.29,0.3,"DISCOUNT"
"washingtonpost.com","banner",3,"Chicago",973,3,0.308,0.29,0.3,"DISCOUNT"
"tmz.com","banner",4,"Los Angeles",980,3,0.306,0.29,0.3,"DISCOUNT"
"cnet.com","banner",2,"Phoenix",972,3,0.309,0.29,0.3,"DISCOUNT"
"bbc.com","banner",7,"Denver",964,3,0.311,0.29,0.3,"DISCOUNT"
"forbes.com","banner",1,"Chicago",962,3,0.312,0.29,0.3,"DISCOUNT"
"foxnews.com","banner",6,"Miami",964,3,0.311,0.29,0.3,"DISCOUNT"
"buzzfeed.com","banner",5,"Miami",958,3,0.313,0.29,0.3,"DISCOUNT"
"foxnews.com","banner",5,"Chicago",956,3,0.314,0.29,0.3,"DISCOUNT"
"theverge.com","banner",5,"Phoenix",966,3,0.311,0.29,0.3,"DISCOUNT"
"variety.com","banner",6,"New York",978,3,0.307,0.29,0.3,"DISCOUNT"
"cnet.com","banner",7,"Philadelphia",947,3,0.317,0.29,0.3,"DISCOUNT"
"variety.com","banner",1,"Philadelphia",959,3,0.313,0.29,0.3,"DISCOUNT"
"tmz.com","banner",3,"Phoenix",958,3,0.313,0.29,0.3,"DISCOUNT"
"weather.com","banner",2,"Los Angeles",965,3,0.311,0.29,0.3,"DISCOUNT"
"forbes.com","banner",4,"Denver",959,3,0.313,0.29,0.3,"DISCOUNT"
"bbc.com","banner",5,"New York",956,3,0.314,0.29,0.3,"DISCOUNT"
"forbes.com","banner",2,"Houston",966,3,0.311,0.29,0.3,"DISCOUNT"
"foxnews.com","banner",6,"Dallas-Ft. Worth",957,3,0.313,0.29,0.3,"DISCOUNT"
"washingtonpost.com","banner",4,"Dallas-Ft. Worth",957,3,0.313,0.29,0.3,"DISCOUNT"
"cnn.com","banner",2,"New York",953,3,0.315,0.29,0.3,"DISCOUNT"
"techcrunch.com","banner",6,"Denver",973,3,0.308,0.29,0.3,"DISCOUNT"
"tmz.com","banner",1,"Atlanta",974,3,0.308,0.29,0.3,"DISCOUNT"
"techcrunch.com","banner",6,"Miami",961,3,0.312,0.29,0.3,"DISCOUNT"
"washingtonpost.com","banner",2,"Dallas-Ft. Worth",962,3,0.312,0.29,0.3,"DISCOUNT"
"foxnews.com","banner",5,"Dallas-Ft. Worth",965,3,0.311,0.29,0.3,"DISCOUNT"
"forbes.com","banner",4,"Dallas-Ft. Worth",968,3,0.31,0.29,0.3,"DISCOUNT"
"cnn.com","banner",2,"Chicago",975,3,0.308,0.29,0.3,"DISCOUNT"
"washingtonpost.com","banner",1,"Atlanta",966,3,0.311,0.29,0.3,"DISCOUNT"
"bbc.com","banner",6,"Philadelphia",968,3,0.31,0.29,0.3,"DISCOUNT"
"variety.com","banner",6,"Philadelphia",977,3,0.307,0.29,0.3,"DISCOUNT"
"cnet.com","banner",4,"Philadelphia",965,3,0.311,0.29,0.3,"DISCOUNT"
"espn.com","banner",2,"Dallas-Ft. Worth",955,3,0.314,0.29,0.3,"DISCOUNT"
"buzzfeed.com","video",4,"Miami",489,7,1.431,1.33,1.33,"PREMIUM"
"forbes.com","video",1,"Chicago",489,7,1.431,1.33,1.33,"PREMIUM"
"theverge.com","native",5,"Miami",489,7,1.431,1.33,1.33,"PREMIUM"
"theverge.com","video",3,"Philadelphia",489,7,1.431,1.33,1.33,"PREMIUM"
"tmz.com","video",1,"Houston",491,7,1.426,1.33,1.33,"PREMIUM"
"buzzfeed.com","video",2,"New York",421,6,1.425,1.33,1.33,"PREMIUM"
"weather.com","video",2,"Los Angeles",489,7,1.431,1.33,1.33,"PREMIUM"
"weather.com","video",7,"Denver",491,7,1.426,1.33,1.33,"PREMIUM"
"tmz.com","video",4,"Philadelphia",489,7,1.431,1.33,1.33,"PREMIUM"
"bbc.com","native",7,"Chicago",490,7,1.429,1.33,1.33,"PREMIUM"
"foxnews.com","banner",7,"Houston",917,13,1.418,1.32,1.32,"PREMIUM"
"cnn.com","video",5,"Phoenix",494,7,1.417,1.32,1.32,"PREMIUM"
"buzzfeed.com","video",3,"Miami",494,7,1.417,1.32,1.32,"PREMIUM"
"weather.com","video",5,"Houston",493,7,1.42,1.32,1.32,"PREMIUM"
"foxnews.com","video",5,"Chicago",494,7,1.417,1.32,1.32,"PREMIUM"
"weather.com","video",6,"Phoenix",495,7,1.414,1.32,1.32,"PREMIUM"
"cnet.com","video",7,"New York",423,6,1.418,1.32,1.32,"PREMIUM"
"theverge.com","native",4,"Dallas-Ft. Worth",495,7,1.414,1.32,1.32,"PREMIUM"
"theverge.com","video",6,"New York",495,7,1.414,1.32,1.32,"PREMIUM"
"people.com","banner",3,"Houston",988,14,1.417,1.32,1.32,"PREMIUM"
"nytimes.com","video",7,"Atlanta",493,7,1.42,1.32,1.32,"PREMIUM"
"techcrunch.com","video",4,"Los Angeles",494,7,1.417,1.32,1.32,"PREMIUM"
"variety.com","video",7,"Los Angeles",495,7,1.414,1.32,1.32,"PREMIUM"
"people.com","native",6,"New York",496,7,1.411,1.31,1.31,"PREMIUM"
"espn.com","banner",3,"Denver",921,13,1.412,1.31,1.31,"PREMIUM"
"techcrunch.com","native",6,"Chicago",496,7,1.411,1.31,1.31,"PREMIUM"
"people.com","banner",7,"Houston",925,13,1.405,1.31,1.31,"PREMIUM"
"buzzfeed.com","native",3,"Philadelphia",427,6,1.405,1.31,1.31,"PREMIUM"
"people.com","banner",5,"Miami",922,13,1.41,1.31,1.31,"PREMIUM"
"espn.com","banner",7,"New York",921,13,1.412,1.31,1.31,"PREMIUM"
"theverge.com","banner",7,"Houston",997,14,1.404,1.31,1.31,"PREMIUM"
"weather.com","banner",3,"Los Angeles",996,14,1.406,1.31,1.31,"PREMIUM"
"foxnews.com","video",7,"New York",497,7,1.408,1.31,1.31,"PREMIUM"
"weather.com","banner",4,"Miami",962,8,0.832,0.77,0.77,"DISCOUNT"
"nytimes.com","video",5,"Denver",486,4,0.823,0.77,0.77,"DISCOUNT"
"forbes.com","banner",1,"Atlanta",966,8,0.828,0.77,0.77,"DISCOUNT"
"cnet.com","video",6,"Phoenix",486,4,0.823,0.77,0.77,"DISCOUNT"
"espn.com","banner",5,"Dallas-Ft. Worth",968,8,0.826,0.77,0.77,"DISCOUNT"
"tmz.com","banner",7,"Los Angeles",969,8,0.826,0.77,0.77,"DISCOUNT"
"theverge.com","banner",5,"Houston",971,8,0.824,0.77,0.77,"DISCOUNT"
"cnet.com","banner",7,"Miami",968,8,0.826,0.77,0.77,"DISCOUNT"
"cnn.com","video",1,"Phoenix",485,4,0.825,0.77,0.77,"DISCOUNT"
"people.com","video",2,"Los Angeles",486,4,0.823,0.77,0.77,"DISCOUNT"
"theverge.com","banner",4,"Los Angeles",973,8,0.822,0.77,0.77,"DISCOUNT"
"theverge.com","banner",1,"New York",962,8,0.832,0.77,0.77,"DISCOUNT"
"theverge.com","banner",3,"Philadelphia",965,8,0.829,0.77,0.77,"DISCOUNT"
"tmz.com","video",2,"Denver",481,4,0.832,0.77,0.77,"DISCOUNT"
"nytimes.com","video",6,"Chicago",486,4,0.823,0.77,0.77,"DISCOUNT"
"espn.com","native",6,"Phoenix",482,4,0.83,0.77,0.77,"DISCOUNT"
"tmz.com","native",1,"Phoenix",481,4,0.832,0.77,0.77,"DISCOUNT"
"forbes.com","video",4,"Philadelphia",490,4,0.816,0.76,0.76,"DISCOUNT"
"weather.com","video",2,"Denver",487,4,0.821,0.76,0.76,"DISCOUNT"
"foxnews.com","banner",7,"Miami",983,8,0.814,0.76,0.76,"DISCOUNT"
"cnet.com","video",4,"Philadelphia",488,4,0.82,0.76,0.76,"DISCOUNT"
"tmz.com","native",5,"Phoenix",493,4,0.811,0.76,0.76,"DISCOUNT"
"cnn.com","video",5,"Denver",487,4,0.821,0.76,0.76,"DISCOUNT"
"theverge.com","native",4,"Phoenix",492,4,0.813,0.76,0.76,"DISCOUNT"
"cnet.com","banner",7,"Atlanta",978,8,0.818,0.76,0.76,"DISCOUNT"
"weather.com","banner",4,"Atlanta",976,8,0.82,0.76,0.76,"DISCOUNT"
"bbc.com","native",7,"Denver",490,4,0.816,0.76,0.76,"DISCOUNT"
"foxnews.com","video",2,"Philadelphia",489,4,0.818,0.76,0.76,"DISCOUNT"
"tmz.com","native",2,"Denver",492,4,0.813,0.76,0.76,"DISCOUNT"
"bbc.com","native",5,"Phoenix",490,4,0.816,0.76,0.76,"DISCOUNT"
"espn.com","video",6,"Atlanta",493,4,0.811,0.76,0.76,"DISCOUNT"
"bbc.com","banner",7,"New York",982,8,0.815,0.76,0.76,"DISCOUNT"
"theverge.com","video",1,"Houston",490,4,0.816,0.76,0.76,"DISCOUNT"
"foxnews.com","native",2,"Dallas-Ft. Worth",487,4,0.821,0.76,0.76,"DISCOUNT"
"cnet.com","video",4,"Denver",493,4,0.811,0.76,0.76,"DISCOUNT"
"variety.com","native",5,"Phoenix",490,4,0.816,0.76,0.76,"DISCOUNT"
"variety.com","native",5,"Los Angeles",492,4,0.813,0.76,0.76,"DISCOUNT"
"foxnews.com","video",5,"Phoenix",493,4,0.811,0.76,0.76,"DISCOUNT"
"foxnews.com","native",5,"Phoenix",488,4,0.82,0.76,0.76,"DISCOUNT"
"variety.com","native",2,"Denver",487,4,0.821,0.76,0.76,"DISCOUNT"
"bbc.com","video",2,"Dallas-Ft. Worth",493,4,0.811,0.76,0.76,"DISCOUNT"
"bbc.com","native",6,"New York",488,4,0.82,0.76,0.76,"DISCOUNT"
"techcrunch.com","banner",7,"Denver",854,7,0.82,0.76,0.76,"DISCOUNT"
"espn.com","banner",6,"Philadelphia",984,8,0.813,0.76,0.76,"DISCOUNT"
"variety.com","video",6,"Miami",499,4,0.802,0.75,0.75,"DISCOUNT"
"forbes.com","native",1,"Philadelphia",498,4,0.803,0.75,0.75,"DISCOUNT"
"people.com","banner",3,"New York",989,8,0.809,0.75,0.75,"DISCOUNT"
"techcrunch.com","banner",6,"Houston",992,8,0.806,0.75,0.75,"DISCOUNT"
"tmz.com","banner",3,"Miami",999,8,0.801,0.75,0.75,"DISCOUNT"
"espn.com","video",2,"Denver",494,4,0.81,0.75,0.75,"DISCOUNT"
"foxnews.com","native",3,"Philadelphia",497,4,0.805,0.75,0.75,"DISCOUNT"
"variety.com","banner",3,"Houston",974,13,1.335,1.24,1.24,"PREMIUM"
"forbes.com","native",2,"New York",449,6,1.336,1.24,1.24,"PREMIUM"
"espn.com","native",5,"Chicago",450,6,1.333,1.24,1.24,"PREMIUM"
"bbc.com","native",1,"Atlanta",452,6,1.327,1.24,1.24,"PREMIUM"
"nytimes.com","native",4,"Chicago",452,6,1.327,1.24,1.24,"PREMIUM"
"espn.com","banner",6,"Los Angeles",898,12,1.336,1.24,1.24,"PREMIUM"
"cnn.com","video",6,"Houston",456,6,1.316,1.23,1.23,"PREMIUM"
"theverge.com","native",6,"Denver",454,6,1.322,1.23,1.23,"PREMIUM"
"buzzfeed.com","banner",3,"Houston",908,12,1.322,1.23,1.23,"PREMIUM"
"forbes.com","video",4,"Atlanta",455,6,1.319,1.23,1.23,"PREMIUM"
"washingtonpost.com","video",5,"Philadelphia",456,6,1.316,1.23,1.23,"PREMIUM"
"cnet.com","native",1,"Atlanta",453,6,1.325,1.23,1.23,"PREMIUM"
"forbes.com","video",6,"Atlanta",455,6,1.319,1.23,1.23,"PREMIUM"
"people.com","banner",4,"Los Angeles",911,12,1.317,1.23,1.23,"PREMIUM"
"forbes.com","video",1,"Atlanta",455,6,1.319,1.23,1.23,"PREMIUM"
"people.com","native",2,"Los Angeles",456,6,1.316,1.23,1.23,"PREMIUM"
"bbc.com","native",6,"Atlanta",456,6,1.316,1.23,1.23,"PREMIUM"
"cnet.com","native",5,"Atlanta",455,6,1.319,1.23,1.23,"PREMIUM"
"foxnews.com","native",4,"New York",454,6,1.322,1.23,1.23,"PREMIUM"
"variety.com","native",4,"Los Angeles",531,7,1.318,1.23,1.23,"PREMIUM"
"bbc.com","video",7,"Los Angeles",456,6,1.316,1.23,1.23,"PREMIUM"
"theverge.com","video",4,"Atlanta",453,6,1.325,1.23,1.23,"PREMIUM"
"buzzfeed.com","video",1,"Philadelphia",456,6,1.316,1.23,1.23,"PREMIUM"
"variety.com","banner",7,"New York",987,13,1.317,1.23,1.23,"PREMIUM"
"techcrunch.com","native",7,"Phoenix",458,6,1.31,1.22,1.22,"PREMIUM"
"theverge.com","video",3,"Dallas-Ft. Worth",457,6,1.313,1.22,1.22,"PREMIUM"
"theverge.com","native",7,"Denver",457,6,1.313,1.22,1.22,"PREMIUM"
"cnet.com","video",6,"Miami",457,6,1.313,1.22,1.22,"PREMIUM"
"tmz.com","video",7,"Miami",458,6,1.31,1.22,1.22,"PREMIUM"
"cnn.com","video",1,"Los Angeles",458,6,1.31,1.22,1.22,"PREMIUM"
"forbes.com","video",4,"Phoenix",458,6,1.31,1.22,1.22,"PREMIUM"
"bbc.com","video",4,"Chicago",459,6,1.307,1.22,1.22,"PREMIUM"
"bbc.com","video",1,"Dallas-Ft. Worth",458,6,1.31,1.22,1.22,"PREMIUM"
"buzzfeed.com","video",1,"New York",457,6,1.313,1.22,1.22,"PREMIUM"
"nytimes.com","native",5,"Phoenix",459,6,1.307,1.22,1.22,"PREMIUM"
"forbes.com","native",6,"Los Angeles",459,6,1.307,1.22,1.22,"PREMIUM"
"techcrunch.com","banner",3,"Miami",915,12,1.311,1.22,1.22,"PREMIUM"
"cnet.com","native",3,"Philadelphia",459,6,1.307,1.22,1.22,"PREMIUM"
"forbes.com","banner",3,"Miami",917,12,1.309,1.22,1.22,"PREMIUM"
"washingtonpost.com","native",4,"Chicago",463,6,1.296,1.21,1.21,"PREMIUM"
"nytimes.com","banner",3,"New York",925,12,1.297,1.21,1.21,"PREMIUM"
"bbc.com","video",3,"Denver",462,6,1.299,1.21,1.21,"PREMIUM"
"cnet.com","native",4,"New York",462,6,1.299,1.21,1.21,"PREMIUM"
"buzzfeed.com","native",6,"Chicago",460,6,1.304,1.21,1.21,"PREMIUM"
"nytimes.com","native",5,"Los Angeles",462,6,1.299,1.21,1.21,"PREMIUM"
"tmz.com","video",6,"Los Angeles",463,6,1.296,1.21,1.21,"PREMIUM"
"weather.com","native",1,"New York",463,6,1.296,1.21,1.21,"PREMIUM"
"buzzfeed.com","native",5,"Philadelphia",537,7,1.304,1.21,1.21,"PREMIUM"
"foxnews.com","banner",1,"Dallas-Ft. Worth",930,5,0.538,0.5,0.5,"DISCOUNT"
"cnn.com","banner",7,"Philadelphia",925,5,0.541,0.5,0.5,"DISCOUNT"
"washingtonpost.com","banner",6,"Houston",926,5,0.54,0.5,0.5,"DISCOUNT"
"variety.com","banner",6,"Dallas-Ft. Worth",934,5,0.535,0.5,0.5,"DISCOUNT"
"cnet.com","banner",1,"Denver",936,5,0.534,0.5,0.5,"DISCOUNT"
"variety.com","banner",4,"Phoenix",934,5,0.535,0.5,0.5,"DISCOUNT"
"techcrunch.com","banner",3,"Dallas-Ft. Worth",927,5,0.539,0.5,0.5,"DISCOUNT"
"forbes.com","banner",1,"Dallas-Ft. Worth",931,5,0.537,0.5,0.5,"DISCOUNT"
"nytimes.com","banner",6,"Dallas-Ft. Worth",937,5,0.534,0.5,0.5,"DISCOUNT"
"forbes.com","banner",6,"New York",926,5,0.54,0.5,0.5,"DISCOUNT"
"cnn.com","banner",6,"Denver",929,5,0.538,0.5,0.5,"DISCOUNT"
"bbc.com","banner",4,"Dallas-Ft. Worth",940,5,0.532,0.5,0.5,"DISCOUNT"
"techcrunch.com","banner",4,"Chicago",937,5,0.534,0.5,0.5,"DISCOUNT"
"washingtonpost.com","banner",3,"Phoenix",938,5,0.533,0.5,0.5,"DISCOUNT"
"tmz.com","banner",4,"Chicago",943,5,0.53,0.49,0.49,"DISCOUNT"
"espn.com","banner",7,"Denver",951,5,0.526,0.49,0.49,"DISCOUNT"
"nytimes.com","banner",7,"Dallas-Ft. Worth",953,5,0.525,0.49,0.49,"DISCOUNT"
"forbes.com","banner",7,"Los Angeles",949,5,0.527,0.49,0.49,"DISCOUNT"
"people.com","banner",2,"Los Angeles",942,5,0.531,0.49,0.49,"DISCOUNT"
"variety.com","banner",5,"Denver",949,5,0.527,0.49,0.49,"DISCOUNT"
"theverge.com","banner",1,"Houston",952,5,0.525,0.49,0.49,"DISCOUNT"
"foxnews.com","banner",1,"New York",943,5,0.53,0.49,0.49,"DISCOUNT"
"nytimes.com","banner",3,"Dallas-Ft. Worth",947,5,0.528,0.49,0.49,"DISCOUNT"
"theverge.com","banner",5,"Denver",957,5,0.522,0.49,0.49,"DISCOUNT"
"tmz.com","banner",1,"Philadelphia",951,5,0.526,0.49,0.49,"DISCOUNT"
"people.com","banner",6,"Denver",956,5,0.523,0.49,0.49,"DISCOUNT"
"foxnews.com","banner",6,"New York",946,5,0.529,0.49,0.49,"DISCOUNT"
"bbc.com","banner",1,"Los Angeles",949,5,0.527,0.49,0.49,"DISCOUNT"
"bbc.com","banner",5,"Miami",959,5,0.521,0.49,0.49,"DISCOUNT"
"variety.com","banner",5,"Philadelphia",955,5,0.524,0.49,0.49,"DISCOUNT"
"variety.com","banner",5,"Miami",952,5,0.525,0.49,0.49,"DISCOUNT"
"washingtonpost.com","banner",6,"Atlanta",959,5,0.521,0.49,0.49,"DISCOUNT"
"cnn.com","banner",4,"New York",953,5,0.525,0.49,0.49,"DISCOUNT"
"tmz.com","banner",1,"Houston",949,5,0.527,0.49,0.49,"DISCOUNT"
"buzzfeed.com","banner",7,"Phoenix",954,5,0.524,0.49,0.49,"DISCOUNT"
