"DOMAIN","COMPANY_NAME","COMPANY_INDUSTRY","COMPANY_REVENUE","COMPANY_SIZE","JOURNEY_STAGE","TOTAL_VISITS","TOTAL_VISITORS","PURCHASE_SCORE","PREDICTED_ACCOUNT_VALUE","SCORE_TIER"
"apex-net.com","Apex Net","Telecommunications","Small ($1MM-$10MM)","Small (10-49)","Aware",19,5,0.188,137,"COLD"
"clear-tech.com","Clear Tech","Legal Services","XXLarge ($1B+)","XXLarge (10,000+)","Unaware",2,1,0.054,657,"COLD"
"nova-solutions.com","Nova Solutions","Logistics and Supply Chain","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Unaware",1,1,0.052,126,"COLD"
"blue-hub.com","Blue Hub","Automotive","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Unaware",3,1,0.056,73,"COLD"
"bright-labs.com","Bright Labs","Retail","XXLarge ($1B+)","XXLarge (10,000+)","Unaware",1,1,0.152,616,"COLD"
"iron-net.com","Iron Net","Software / Information Technology","Micro ($0-$1MM)","Micro (1-9)","MQL",85,25,0.720,326,"HOT"
"vertex-labs.com","Vertex Labs","Software / Information Technology","Micro ($0-$1MM)","Small (10-49)","Unaware",2,1,0.154,212,"COLD"
"nexus-net.com","Nexus Net","Logistics and Supply Chain","Large ($100MM-$200MM)","Large (1,000-4,999)","Aware",4,3,0.158,211,"COLD"
"swift-inc.com","Swift Inc","E-Learning","Micro ($0-$1MM)","Micro (1-9)","Engaged",27,13,0.354,214,"WARM"
"acme-cloud.com","Acme Cloud","Health, Wellness and Fitness","Small ($1MM-$10MM)","Medium-Small (50-199)","Aware",18,1,0.186,227,"COLD"
"smart-systems.com","Smart Systems","Health, Wellness and Fitness","Micro ($0-$1MM)","Micro (1-9)","Unaware",4,1,0.058,126,"COLD"
"cyber-digital.com","Cyber Digital","Software / Information Technology","Large ($100MM-$200MM)","Medium-Large (500-999)","Aware",12,5,0.274,247,"COLD"
"blue-corp.com","Blue Corp","Hospital & Health Care","Small ($1MM-$10MM)","Medium-Small (50-199)","Aware",21,5,0.192,92,"COLD"
"nexus-group.com","Nexus Group","Marketing and Advertising","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Unaware",5,1,0.060,121,"COLD"
"bright-tech.com","Bright Tech","Entertainment","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Unaware",2,1,0.054,179,"COLD"
"cyber-net.com","Cyber Net","Marketing and Advertising","XXLarge ($1B+)","XXLarge (10,000+)","Unaware",3,1,0.056,600,"COLD"
"rapid-works.com","Rapid Works","Financial Services","Micro ($0-$1MM)","Micro (1-9)","MQL",87,21,0.624,316,"HOT"
"stellar-cloud.com","Stellar Cloud","Marketing and Advertising","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","MQL",192,29,0.750,447,"HOT"
"smart-inc.com","Smart Inc","Software / Information Technology","Micro ($0-$1MM)","Micro (1-9)","Aware",3,3,0.256,146,"COLD"
"nexus-corp.com","Nexus Corp","Financial Services","Micro ($0-$1MM)","Small (10-49)","Aware",6,4,0.162,149,"COLD"
"clear-solutions.com","Clear Solutions","Consumer Goods","Micro ($0-$1MM)","Micro (1-9)","Opportunity",479,21,0.750,1014,"HOT"
"bright-digital.com","Bright Digital","Health, Wellness and Fitness","Large ($100MM-$200MM)","Large (1,000-4,999)","Unaware",4,1,0.058,132,"COLD"
"rapid-io.com","Rapid Io","Software / Information Technology","Small ($1MM-$10MM)","Small (10-49)","Unaware",1,1,0.152,122,"COLD"
"apex-corp.com","Apex Corp","Health, Wellness and Fitness","Small ($1MM-$10MM)","Small (10-49)","MQL",114,9,0.678,304,"HOT"
"cyber-solutions.com","Cyber Solutions","Software / Information Technology","Medium-Large ($50MM-$100MM)","Medium (200-499)","MQL",58,12,0.666,303,"HOT"
"global-net.com","Global Net","Real Estate","Large ($100MM-$200MM)","Medium-Large (500-999)","Unaware",3,1,0.056,126,"COLD"
"global-media.com","Global Media","Marketing and Advertising","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Engaged",80,5,0.460,231,"WARM"
"peak-systems.com","Peak Systems","Food & Beverages","Small ($1MM-$10MM)","Small (10-49)","Engaged",81,17,0.462,303,"WARM"
"bright-media.com","Bright Media","Health, Wellness and Fitness","Small ($1MM-$10MM)","Small (10-49)","Aware",16,2,0.182,234,"COLD"
"acme-digital.com","Acme Digital","Manufacturing","Small ($1MM-$10MM)","Medium-Small (50-199)","Opportunity",426,37,0.750,1068,"HOT"
"smart-inc.com","Smart Inc","Consumer Goods","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Aware",19,1,0.188,178,"COLD"
"smart-systems.com","Smart Systems","Telecommunications","Small ($1MM-$10MM)","Small (10-49)","Aware",16,4,0.182,150,"COLD"
"apex-media.com","Apex Media","Health, Wellness and Fitness","Small ($1MM-$10MM)","Medium-Small (50-199)","Engaged",14,15,0.328,202,"WARM"
"rapid-data.com","Rapid Data","Software / Information Technology","Small ($1MM-$10MM)","Small (10-49)","Unaware",5,1,0.160,198,"COLD"
"iron-io.com","Iron Io","Health, Wellness and Fitness","Micro ($0-$1MM)","Small (10-49)","Unaware",4,1,0.058,116,"COLD"
"nexus-data.com","Nexus Data","Manufacturing","Small ($1MM-$10MM)","Medium-Small (50-199)","MQL",73,21,0.596,291,"HOT"
"peak-labs.com","Peak Labs","Financial Services","Small ($1MM-$10MM)","Small (10-49)","Aware",15,5,0.180,256,"COLD"
"apex-io.com","Apex Io","Health, Wellness and Fitness","Medium-Small ($10MM-$50MM)","Medium (200-499)","Unaware",3,1,0.056,210,"COLD"
"blue-media.com","Blue Media","Software / Information Technology","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Aware",9,5,0.268,71,"COLD"
"swift-cloud.com","Swift Cloud","Insurance","Medium-Small ($10MM-$50MM)","Medium (200-499)","Unaware",3,1,0.056,252,"COLD"
"acme-digital.com","Acme Digital","Telecommunications","Medium-Small ($10MM-$50MM)","Medium (200-499)","MQL",145,16,0.740,506,"HOT"
"green-labs.com","Green Labs","Marketing and Advertising","Micro ($0-$1MM)","Micro (1-9)","Unaware",1,1,0.052,235,"COLD"
"acme-inc.com","Acme Inc","Retail","Medium-Large ($50MM-$100MM)","Medium (200-499)","Aware",19,1,0.288,274,"COLD"
"clear-net.com","Clear Net","Health, Wellness and Fitness","Large ($100MM-$200MM)","Medium-Large (500-999)","MQL",140,15,0.730,356,"HOT"
"stellar-io.com","Stellar Io","Telecommunications","Micro ($0-$1MM)","Micro (1-9)","Aware",4,3,0.158,198,"COLD"
"nexus-labs.com","Nexus Labs","Retail","Small ($1MM-$10MM)","Medium-Small (50-199)","Aware",22,3,0.294,194,"COLD"
"core-labs.com","Core Labs","Health, Wellness and Fitness","Micro ($0-$1MM)","Micro (1-9)","Unaware",5,1,0.060,175,"COLD"
"cyber-digital.com","Cyber Digital","Real Estate","Small ($1MM-$10MM)","Small (10-49)","Unaware",1,1,0.052,225,"COLD"
"swift-digital.com","Swift Digital","E-Learning","Micro ($0-$1MM)","Micro (1-9)","Unaware",2,1,0.054,103,"COLD"
"clear-data.com","Clear Data","Consumer Goods","Medium-Small ($10MM-$50MM)","Medium (200-499)","Engaged",44,15,0.388,143,"WARM"
"nova-labs.com","Nova Labs","Food & Beverages","Micro ($0-$1MM)","Micro (1-9)","Aware",18,3,0.186,143,"COLD"
"smart-tech.com","Smart Tech","Software / Information Technology","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Aware",11,4,0.272,179,"COLD"
"bright-digital.com","Bright Digital","Retail","Large ($100MM-$200MM)","Large (1,000-4,999)","Engaged",30,14,0.460,184,"WARM"
"nexus-works.com","Nexus Works","Financial Services","Small ($1MM-$10MM)","Medium-Small (50-199)","MQL",63,13,0.576,265,"HOT"
"blue-hub.com","Blue Hub","E-Learning","Small ($1MM-$10MM)","Medium-Small (50-199)","Aware",16,5,0.182,99,"COLD"
"rapid-group.com","Rapid Group","Legal Services","XLarge ($200MM-$1B)","XLarge (5,000-10,000)","MQL",226,28,0.750,1175,"HOT"
"prime-corp.com","Prime Corp","Management Consulting","Micro ($0-$1MM)","Micro (1-9)","Unaware",3,1,0.056,116,"COLD"
"rapid-inc.com","Rapid Inc","Software / Information Technology","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Unaware",3,1,0.156,131,"COLD"
"smart-works.com","Smart Works","Education Management","Large ($100MM-$200MM)","Large (1,000-4,999)","MQL",216,29,0.750,644,"HOT"
"rapid-media.com","Rapid Media","Retail","Micro ($0-$1MM)","Micro (1-9)","Engaged",102,14,0.604,268,"HOT"
"bright-digital.com","Bright Digital","Financial Services","Small ($1MM-$10MM)","Medium-Small (50-199)","Aware",13,4,0.176,150,"COLD"
"clear-solutions.com","Clear Solutions","Marketing and Advertising","XXLarge ($1B+)","XXLarge (10,000+)","MQL",186,16,0.750,928,"HOT"
"apex-tech.com","Apex Tech","Automotive","Large ($100MM-$200MM)","Medium-Large (500-999)","Engaged",38,6,0.376,201,"WARM"
"smart-corp.com","Smart Corp","Entertainment","Micro ($0-$1MM)","Micro (1-9)","Engaged",95,17,0.490,284,"WARM"
"nexus-inc.com","Nexus Inc","Manufacturing","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Unaware",4,1,0.058,198,"COLD"
"acme-works.com","Acme Works","Marketing and Advertising","XXLarge ($1B+)","XXLarge (10,000+)","Engaged",74,16,0.448,858,"WARM"
"nexus-net.com","Nexus Net","Manufacturing","Micro ($0-$1MM)","Micro (1-9)","Aware",18,2,0.186,239,"COLD"
"prime-tech.com","Prime Tech","Entertainment","Large ($100MM-$200MM)","Large (1,000-4,999)","Unaware",2,1,0.054,71,"COLD"
"iron-works.com","Iron Works","Marketing and Advertising","Small ($1MM-$10MM)","Medium-Small (50-199)","Engaged",23,13,0.346,128,"WARM"
"smart-net.com","Smart Net","Hospital & Health Care","Micro ($0-$1MM)","Small (10-49)","Engaged",23,13,0.346,106,"WARM"
"vertex-systems.com","Vertex Systems","Software / Information Technology","Medium-Small ($10MM-$50MM)","Medium (200-499)","Engaged",71,18,0.542,356,"WARM"
"clear-inc.com","Clear Inc","Automotive","XLarge ($200MM-$1B)","Large (1,000-4,999)","Unaware",1,1,0.052,739,"COLD"
"blue-inc.com","Blue Inc","Retail","Small ($1MM-$10MM)","Small (10-49)","Aware",20,6,0.290,175,"COLD"
"smart-corp.com","Smart Corp","Financial Services","Micro ($0-$1MM)","Small (10-49)","Unaware",3,1,0.056,100,"COLD"
"global-tech.com","Global Tech","E-Learning","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Opportunity",224,15,0.750,671,"HOT"
"bright-cloud.com","Bright Cloud","Software / Information Technology","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Opportunity",138,37,0.826,391,"HOT"
"nova-net.com","Nova Net","Management Consulting","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Engaged",44,15,0.388,243,"WARM"
"apex-group.com","Apex Group","Software / Information Technology","Medium-Small ($10MM-$50MM)","Medium (200-499)","Aware",4,5,0.258,107,"COLD"
"stellar-net.com","Stellar Net","Marketing and Advertising","Medium-Small ($10MM-$50MM)","Medium (200-499)","Aware",10,5,0.170,99,"COLD"
"iron-systems.com","Iron Systems","Marketing and Advertising","Large ($100MM-$200MM)","Large (1,000-4,999)","Opportunity",197,38,0.750,566,"HOT"
"prime-cloud.com","Prime Cloud","Retail","Medium-Large ($50MM-$100MM)","Medium (200-499)","Engaged",37,4,0.474,263,"WARM"
"core-inc.com","Core Inc","Logistics and Supply Chain","Micro ($0-$1MM)","Micro (1-9)","Unaware",1,1,0.052,162,"COLD"
"nexus-inc.com","Nexus Inc","Logistics and Supply Chain","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","MQL",173,20,0.750,536,"HOT"
"atlas-solutions.com","Atlas Solutions","Marketing and Advertising","Micro ($0-$1MM)","Micro (1-9)","Aware",4,5,0.158,62,"COLD"
"peak-hub.com","Peak Hub","Food & Beverages","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","MQL",53,25,0.556,325,"HOT"
"global-solutions.com","Global Solutions","Marketing and Advertising","Micro ($0-$1MM)","Small (10-49)","Unaware",1,1,0.052,66,"COLD"
"swift-tech.com","Swift Tech","Insurance","Large ($100MM-$200MM)","Large (1,000-4,999)","Unaware",4,1,0.058,148,"COLD"
"atlas-tech.com","Atlas Tech","Food & Beverages","Medium-Small ($10MM-$50MM)","Medium (200-499)","Engaged",28,13,0.356,110,"WARM"
"nexus-labs.com","Nexus Labs","Software / Information Technology","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Unaware",5,1,0.160,160,"COLD"
"apex-io.com","Apex Io","Real Estate","Large ($100MM-$200MM)","Large (1,000-4,999)","Unaware",3,1,0.056,210,"COLD"
"prime-media.com","Prime Media","Entertainment","Small ($1MM-$10MM)","Medium-Small (50-199)","Unaware",5,1,0.060,195,"COLD"
"clear-cloud.com","Clear Cloud","Education Management","Small ($1MM-$10MM)","Medium-Small (50-199)","Engaged",73,14,0.446,290,"WARM"
"clear-digital.com","Clear Digital","Retail","Medium-Small ($10MM-$50MM)","Medium (200-499)","Unaware",4,1,0.158,60,"COLD"
"swift-net.com","Swift Net","Software / Information Technology","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Unaware",3,1,0.156,230,"COLD"
"prime-inc.com","Prime Inc","Management Consulting","Large ($100MM-$200MM)","Large (1,000-4,999)","Opportunity",177,38,0.750,440,"HOT"
"rapid-inc.com","Rapid Inc","Retail","Small ($1MM-$10MM)","Small (10-49)","Engaged",29,14,0.458,183,"WARM"
"apex-media.com","Apex Media","Legal Services","Micro ($0-$1MM)","Micro (1-9)","MQL",111,18,0.672,396,"HOT"
"peak-tech.com","Peak Tech","Construction","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Engaged",58,13,0.416,229,"WARM"
"nexus-group.com","Nexus Group","Construction","XLarge ($200MM-$1B)","XLarge (5,000-10,000)","Aware",14,5,0.178,639,"COLD"
"apex-digital.com","Apex Digital","Legal Services","Large ($100MM-$200MM)","Large (1,000-4,999)","Unaware",5,1,0.060,62,"COLD"
"nexus-io.com","Nexus Io","Marketing and Advertising","Medium-Large ($50MM-$100MM)","Medium (200-499)","Unaware",3,1,0.056,185,"COLD"
"core-inc.com","Core Inc","Real Estate","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Aware",22,5,0.194,204,"COLD"
"green-hub.com","Green Hub","Financial Services","Medium-Large ($50MM-$100MM)","Medium (200-499)","Aware",14,6,0.178,222,"COLD"
"nova-data.com","Nova Data","Hospital & Health Care","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Engaged",102,15,0.504,377,"HOT"
"smart-data.com","Smart Data","Financial Services","Small ($1MM-$10MM)","Medium-Small (50-199)","Engaged",16,6,0.332,248,"WARM"
"apex-media.com","Apex Media","Retail","Micro ($0-$1MM)","Small (10-49)","Unaware",2,1,0.154,178,"COLD"
"cyber-inc.com","Cyber Inc","Entertainment","Medium-Large ($50MM-$100MM)","Medium (200-499)","Unaware",5,1,0.060,187,"COLD"
"stellar-net.com","Stellar Net","Insurance","Micro ($0-$1MM)","Micro (1-9)","Unaware",4,1,0.058,87,"COLD"
"swift-labs.com","Swift Labs","Entertainment","Micro ($0-$1MM)","Small (10-49)","Aware",11,5,0.172,77,"COLD"
"apex-labs.com","Apex Labs","Software / Information Technology","Large ($100MM-$200MM)","Large (1,000-4,999)","Aware",9,5,0.268,72,"COLD"
"nexus-tech.com","Nexus Tech","Manufacturing","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Engaged",74,18,0.448,381,"WARM"
"vertex-tech.com","Vertex Tech","Health, Wellness and Fitness","Micro ($0-$1MM)","Micro (1-9)","MQL",180,18,0.750,416,"HOT"
"bright-io.com","Bright Io","Entertainment","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Aware",3,6,0.156,218,"COLD"
"prime-io.com","Prime Io","Management Consulting","Large ($100MM-$200MM)","Medium-Large (500-999)","Engaged",65,12,0.430,232,"WARM"
"acme-net.com","Acme Net","E-Learning","Micro ($0-$1MM)","Small (10-49)","Aware",13,5,0.176,189,"COLD"
"cyber-solutions.com","Cyber Solutions","Financial Services","Micro ($0-$1MM)","Micro (1-9)","Engaged",13,11,0.326,213,"WARM"
"stellar-data.com","Stellar Data","Software / Information Technology","Large ($100MM-$200MM)","Large (1,000-4,999)","Aware",19,5,0.288,249,"COLD"
"apex-labs.com","Apex Labs","Education Management","Small ($1MM-$10MM)","Medium-Small (50-199)","MQL",113,28,0.676,280,"HOT"
"nova-works.com","Nova Works","Real Estate","Small ($1MM-$10MM)","Medium-Small (50-199)","Unaware",2,1,0.054,229,"COLD"
"vertex-tech.com","Vertex Tech","Telecommunications","Micro ($0-$1MM)","Micro (1-9)","MQL",41,17,0.532,138,"HOT"
"blue-inc.com","Blue Inc","Software / Information Technology","Small ($1MM-$10MM)","Small (10-49)","Aware",20,3,0.290,175,"COLD"
"blue-digital.com","Blue Digital","Telecommunications","XLarge ($200MM-$1B)","XLarge (5,000-10,000)","Unaware",4,1,0.058,746,"COLD"
"peak-cloud.com","Peak Cloud","Entertainment","Large ($100MM-$200MM)","Large (1,000-4,999)","Aware",7,4,0.164,85,"COLD"
"green-cloud.com","Green Cloud","E-Learning","Small ($1MM-$10MM)","Small (10-49)","Aware",15,1,0.180,209,"COLD"
"green-media.com","Green Media","Insurance","Large ($100MM-$200MM)","Medium-Large (500-999)","Aware",19,4,0.188,190,"COLD"
"green-inc.com","Green Inc","Financial Services","Small ($1MM-$10MM)","Medium-Small (50-199)","MQL",156,12,0.750,378,"HOT"
"peak-digital.com","Peak Digital","Insurance","Medium-Large ($50MM-$100MM)","Medium (200-499)","Opportunity",394,34,0.750,902,"HOT"
"atlas-group.com","Atlas Group","Health, Wellness and Fitness","Micro ($0-$1MM)","Micro (1-9)","Unaware",1,1,0.052,85,"COLD"
"atlas-net.com","Atlas Net","Education Management","Micro ($0-$1MM)","Micro (1-9)","Aware",3,2,0.156,158,"COLD"
"iron-tech.com","Iron Tech","Health, Wellness and Fitness","Large ($100MM-$200MM)","Large (1,000-4,999)","Aware",18,6,0.186,181,"COLD"
"acme-cloud.com","Acme Cloud","Software / Information Technology","Medium-Large ($50MM-$100MM)","Medium (200-499)","Unaware",2,1,0.154,195,"COLD"
"peak-media.com","Peak Media","Food & Beverages","Micro ($0-$1MM)","Micro (1-9)","Unaware",4,1,0.058,58,"COLD"
"apex-digital.com","Apex Digital","Manufacturing","Large ($100MM-$200MM)","Medium-Large (500-999)","Unaware",5,1,0.060,62,"COLD"
"nova-tech.com","Nova Tech","Construction","Medium-Small ($10MM-$50MM)","Medium (200-499)","Unaware",2,1,0.054,202,"COLD"
"core-group.com","Core Group","Food & Beverages","Large ($100MM-$200MM)","Medium-Large (500-999)","Unaware",3,1,0.056,122,"COLD"
"clear-works.com","Clear Works","Telecommunications","XLarge ($200MM-$1B)","XLarge (5,000-10,000)","Aware",7,3,0.164,740,"COLD"
"peak-labs.com","Peak Labs","Health, Wellness and Fitness","Micro ($0-$1MM)","Micro (1-9)","Unaware",3,1,0.056,232,"COLD"
"swift-io.com","Swift Io","Management Consulting","XXLarge ($1B+)","XXLarge (10,000+)","Unaware",1,1,0.052,588,"COLD"
"atlas-inc.com","Atlas Inc","Education Management","Large ($100MM-$200MM)","Medium-Large (500-999)","Engaged",11,18,0.322,150,"WARM"
"rapid-systems.com","Rapid Systems","Legal Services","Micro ($0-$1MM)","Micro (1-9)","MQL",127,16,0.704,345,"HOT"
"bright-media.com","Bright Media","Real Estate","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Unaware",4,1,0.058,210,"COLD"
"smart-labs.com","Smart Labs","Retail","XXLarge ($1B+)","XXLarge (10,000+)","Opportunity",360,32,0.850,1397,"HOT"
"smart-cloud.com","Smart Cloud","Marketing and Advertising","XXLarge ($1B+)","XXLarge (10,000+)","Unaware",5,1,0.060,600,"COLD"
"vertex-inc.com","Vertex Inc","Software / Information Technology","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Unaware",5,1,0.160,243,"COLD"
"core-solutions.com","Core Solutions","Retail","Micro ($0-$1MM)","Micro (1-9)","Aware",12,6,0.274,218,"COLD"
"smart-cloud.com","Smart Cloud","Logistics and Supply Chain","Micro ($0-$1MM)","Micro (1-9)","Aware",12,5,0.174,114,"COLD"
"clear-corp.com","Clear Corp","Insurance","Small ($1MM-$10MM)","Small (10-49)","Aware",7,3,0.164,259,"COLD"
"nexus-media.com","Nexus Media","Telecommunications","Medium-Small ($10MM-$50MM)","Medium (200-499)","Unaware",1,1,0.052,166,"COLD"
"apex-systems.com","Apex Systems","Software / Information Technology","Micro ($0-$1MM)","Micro (1-9)","Opportunity",163,20,0.850,540,"HOT"
"cyber-hub.com","Cyber Hub","Legal Services","Micro ($0-$1MM)","Small (10-49)","Opportunity",168,10,0.750,435,"HOT"
"core-group.com","Core Group","Retail","Micro ($0-$1MM)","Small (10-49)","Engaged",52,8,0.504,220,"WARM"
"clear-labs.com","Clear Labs","Food & Beverages","Large ($100MM-$200MM)","Large (1,000-4,999)","Engaged",83,18,0.466,399,"WARM"
"acme-works.com","Acme Works","Logistics and Supply Chain","Medium-Large ($50MM-$100MM)","Medium (200-499)","Unaware",1,1,0.052,212,"COLD"
"clear-media.com","Clear Media","Hospital & Health Care","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Aware",13,5,0.176,103,"COLD"
"vertex-digital.com","Vertex Digital","Software / Information Technology","Small ($1MM-$10MM)","Medium-Small (50-199)","MQL",133,25,0.816,432,"HOT"
"bright-hub.com","Bright Hub","E-Learning","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Unaware",5,1,0.060,190,"COLD"
"bright-data.com","Bright Data","Financial Services","Small ($1MM-$10MM)","Small (10-49)","MQL",146,23,0.742,416,"HOT"
"apex-group.com","Apex Group","Software / Information Technology","Medium-Large ($50MM-$100MM)","Medium (200-499)","Opportunity",459,46,0.850,1017,"HOT"
"smart-cloud.com","Smart Cloud","Health, Wellness and Fitness","Micro ($0-$1MM)","Micro (1-9)","Unaware",4,1,0.058,98,"COLD"
"vertex-corp.com","Vertex Corp","Financial Services","Micro ($0-$1MM)","Small (10-49)","Aware",7,2,0.164,146,"COLD"
"clear-inc.com","Clear Inc","Automotive","Medium-Large ($50MM-$100MM)","Medium (200-499)","Engaged",77,15,0.454,391,"WARM"
"cyber-solutions.com","Cyber Solutions","Logistics and Supply Chain","Small ($1MM-$10MM)","Small (10-49)","Unaware",1,1,0.052,189,"COLD"
"vertex-hub.com","Vertex Hub","Marketing and Advertising","Small ($1MM-$10MM)","Medium-Small (50-199)","Unaware",2,1,0.054,124,"COLD"
